id,catalog_file,manufacturer,product_type_en,product_type_ko,model_name,pumping_speed_m3h_50hz,ultimate_vacuum_mbar,motor_power_kw,oil_type,inlet_connection,application_ko,notes
1,1.오일펌프_소형RV.pdf,Edwards,Oil Rotary Vane Pump,오일 로터리 베인 펌프,RV3,3.3,2.0E-3,0.45,Ultragrade 19,NW25,"질량분석기(GCMS/LCMS), 전자현미경(SEM/TEM), 연구개발, 터보펌프 백킹",소형 2단 / 가스 밸러스트 2단계 / 모드 선택 스위치
2,1.오일펌프_소형RV.pdf,Edwards,Oil Rotary Vane Pump,오일 로터리 베인 펌프,RV5,5.1,2.0E-3,0.45,Ultragrade 19,NW25,"질량분석기(GCMS/LCMS), 전자현미경(SEM/TEM), 연구개발, 터보펌프 백킹",소형 2단 / 가스 밸러스트 2단계 / 모드 선택 스위치
3,1.오일펌프_소형RV.pdf,Edwards,Oil Rotary Vane Pump,오일 로터리 베인 펌프,RV8,8.5,2.0E-3,0.45,Ultragrade 19,NW25,"질량분석기(GCMS/LCMS), 전자현미경(SEM/TEM), 연구개발, 터보펌프 백킹",소형 2단 / 가스 밸러스트 2단계 / 모드 선택 스위치
4,1.오일펌프_소형RV.pdf,Edwards,Oil Rotary Vane Pump,오일 로터리 베인 펌프,RV12,12,2.0E-3,0.45,Ultragrade 19,NW25,"질량분석기(GCMS/LCMS), 전자현미경(SEM/TEM), 연구개발, 터보펌프 백킹",소형 2단 / 가스 밸러스트 2단계 / 모드 선택 스위치
5,1-1.오일펌프_소형E2M.pdf,Edwards,Oil Rotary Vane Pump,오일 로터리 베인 펌프,E2M0.7,0.75,3.0E-3,0.09,Ultragrade 15,NW10,"과학·실험실 응용, 터보펌프 백킹",소형 2단 / IEC 커넥터 내장
6,1-1.오일펌프_소형E2M.pdf,Edwards,Oil Rotary Vane Pump,오일 로터리 베인 펌프,E2M1.5,1.6,1.0E-3,0.16,Ultragrade 15,NW25,"과학·실험실 응용, 터보펌프 백킹",소형 2단 / IEC 커넥터 내장
7,1-1.오일펌프_소형E2M.pdf,Edwards,Oil Rotary Vane Pump,오일 로터리 베인 펌프,E1M18,17,1.0E-2,0.55,Ultragrade 19,NW25,"과학·실험실 응용, 터보펌프 백킹",소형 1단(단단) / IEC 커넥터 내장
8,1-1.오일펌프_소형E2M.pdf,Edwards,Oil Rotary Vane Pump,오일 로터리 베인 펌프,E2M18,17,1.0E-3,0.75,Ultragrade 19,NW25,"과학·실험실 응용, 터보펌프 백킹",소형 2단 / IEC 커넥터 내장
9,1-1.오일펌프_소형E2M.pdf,Edwards,Oil Rotary Vane Pump,오일 로터리 베인 펌프,E2M28,27.5,1.0E-3,0.9,Ultragrade 19,NW25,"과학·실험실 응용, 터보펌프 백킹",소형 2단 / IEC 커넥터 내장
10,2.오일펌프_중대형E2M.pdf,Edwards,Oil Rotary Vane Pump,오일 로터리 베인 펌프,E2M40,37,3.0E-3,1.1,Ultragrade 70,NW40/ISO-F40,"코팅, 제약 동결건조, 플라즈마 처리, 열처리, 화학 공정",중대형 2단 / HC·FX·AZ·EX 변형 있음
11,2.오일펌프_중대형E2M.pdf,Edwards,Oil Rotary Vane Pump,오일 로터리 베인 펌프,E2M80,74,3.0E-3,2.2,Ultragrade 70,NW40/ISO-F40,"코팅, 제약 동결건조, 플라즈마 처리, 열처리, 화학 공정",중대형 2단 / HC·FX·AZ·EX 변형 있음
12,2.오일펌프_중대형E2M.pdf,Edwards,Oil Rotary Vane Pump,오일 로터리 베인 펌프,E2M175,160,3.0E-3,5.5,Ultragrade 70,NW63/ISO-F63,"코팅, 제약 동결건조, 플라즈마 처리, 열처리, 화학 공정",중대형 2단 / HC·FX·AZ·EX 변형 있음
13,2.오일펌프_중대형E2M.pdf,Edwards,Oil Rotary Vane Pump,오일 로터리 베인 펌프,E2M275,255,3.0E-3,7.5,Ultragrade 70,NW63/ISO-F63,"코팅, 제약 동결건조, 플라즈마 처리, 열처리, 화학 공정",중대형 2단 / HC·FX·AZ·EX 변형 있음
14,2-1오일펌프 중대형E2S.pdf,Edwards,Oil Rotary Vane Pump,오일 로터리 베인 펌프,E2S45,42,3.0E-3,1.1,Ultragrade Performance 70,NW40/ISO-F40,"진공 탈기·건조, 열처리·진공로, 플라즈마 처리, 누설 검사, 가스 생산",현대적 경제형 2단 / 수증기 처리 강화 / 에어 냉각
